timestamp,commit,benchmark_render_scene_ms,benchmark_parse_scene_ms, benchmark_save_scene_ms
2025-04-07 11:50,7645a37,310,5,0
2025-04-07 11:56,ab8b723,302,5,0
2025-04-07 19:47,e7a32ad,311,4,0
2025-04-08 21:46,e7a32ad,307,8,618
